patient_id,region,size_bin,dice,iou
BraTS20_Training_258,TC,large,0.18185509453113932,0.10002233264473646
BraTS20_Training_304,TC,medium,0.06971496301698883,0.03611640855173992
BraTS20_Training_327,TC,large,0.2879711809983003,0.16820463405879993
BraTS20_Training_265,TC,medium,0.13271383538113385,0.07107311021512454
BraTS20_Training_195,TC,medium,0.05892148311231283,0.030355023045016825
BraTS20_Training_338,TC,large,0.1956588158716112,0.10843781519409636
BraTS20_Training_102,TC,small,0.037706436527119844,0.01921549213074253
BraTS20_Training_003,TC,small,0.014104372355429053,0.007102272727272155
BraTS20_Training_298,TC,small,0.03606090480884894,0.01836151889696921
BraTS20_Training_346,TC,large,0.12522495500899297,0.06679465642748283
BraTS20_Training_061,TC,small,0.044795218687354754,0.022910755495023423
BraTS20_Training_278,TC,large,0.1688832594468965,0.09222965183305788
BraTS20_Training_221,TC,large,0.25696333977415925,0.14742279702875852
BraTS20_Training_295,TC,small,0.03544041139145074,0.018039876009336188
BraTS20_Training_039,TC,small,0.06598796634360853,0.03411972893408188
BraTS20_Training_117,WT,medium,0.18193101950257387,0.10006827103600727
BraTS20_Training_270,WT,large,0.36699226398921797,0.2247339408726444
BraTS20_Training_160,WT,large,0.39457747265011756,0.2457779593397497
BraTS20_Training_297,WT,medium,0.15487800321338438,0.08393916688604504
BraTS20_Training_332,WT,small,0.09261674832929248,0.0485569684268581
BraTS20_Training_263,WT,small,0.06315866011660752,0.0326091037071782
BraTS20_Training_161,WT,small,0.11812687482451799,0.06277090269488961
BraTS20_Training_168,WT,large,0.36232027274073014,0.22124000603407926
BraTS20_Training_207,WT,small,0.13160730212247543,0.07043877995882772
BraTS20_Training_264,WT,small,0.051926741240554505,0.026655435573106748
BraTS20_Training_093,WT,medium,0.25270774761486303,0.14462820817176117
BraTS20_Training_075,WT,large,0.45086600334493004,0.2910439021533654
BraTS20_Training_350,WT,medium,0.2400517167073573,0.1363970288139664
BraTS20_Training_029,WT,small,0.203664637454026,0.11337784786765483
BraTS20_Training_083,WT,medium,0.22035733622088383,0.12382111347732552
BraTS20_Training_119,WT,small,0.07664585607834833,0.03985010057589816
BraTS20_Training_348,WT,medium,0.15613301035013677,0.08467693777618161
BraTS20_Training_055,WT,medium,0.2361111111111007,0.13385826771652873
BraTS20_Training_225,WT,large,0.5809680234049824,0.40941150938615317
BraTS20_Training_103,WT,small,0.10854104244179856,0.05738482561732174
BraTS20_Training_243,WT,large,0.38820534827257563,0.2408528579347999
BraTS20_Training_352,WT,small,0.09831563447144626,0.05169923897655878
BraTS20_Training_094,WT,small,0.05493654032935433,0.02824408635935027
BraTS20_Training_254,WT,large,0.3101536256550226,0.18353953966687955
BraTS20_Training_138,WT,large,0.5972900947606781,0.4258115612713037
BraTS20_Training_027,WT,medium,0.20400613430906933,0.11358954961162233
BraTS20_Training_357,WT,small,0.174367820057255,0.09551092600850379
BraTS20_Training_079,WT,small,0.01608369213251159,0.008107041647235587
BraTS20_Training_302,WT,medium,0.2104555826726361,0.11760288296556828
BraTS20_Training_196,WT,large,0.5046817507825454,0.337507919164807
BraTS20_Training_070,WT,small,0.13249391901558835,0.0709469813055427
BraTS20_Training_165,WT,large,0.4148432799080729,0.26170489936415575
BraTS20_Training_288,WT,medium,0.15363084909718572,0.08320700604322015
BraTS20_Training_220,WT,medium,0.22531798909750717,0.12696245733787792
BraTS20_Training_081,WT,small,0.08702155905835174,0.04549008875160981
BraTS20_Training_218,WT,medium,0.3161911661836517,0.18778329216090714
BraTS20_Training_211,WT,medium,0.1599154891893439,0.08690660034896577
BraTS20_Training_280,WT,small,0.09568625738336213,0.0502471075233032
BraTS20_Training_037,WT,large,0.4421027303996652,0.2837816966667403
BraTS20_Training_234,WT,large,0.39289653392155016,0.2444749465199468
BraTS20_Training_106,WT,medium,0.27076252822698665,0.15657914696318126
BraTS20_Training_368,WT,medium,0.18687501911255583,0.1030679192457482
BraTS20_Training_059,WT,small,0.07529565075744744,0.03912063210491485
BraTS20_Training_177,WT,small,0.02562210270936609,0.012977304266081159
BraTS20_Training_014,WT,medium,0.2030989166115709,0.11302732158666509
BraTS20_Training_191,WT,large,0.36616717960790174,0.22411545112677222
BraTS20_Training_066,WT,small,0.15823284810551969,0.08591360093633882
BraTS20_Training_256,WT,large,0.4446368198780755,0.28587330956569296
BraTS20_Training_315,WT,small,0.08351803563667516,0.04357882682419123
BraTS20_Training_217,WT,small,0.047718074718379216,0.02444220483754967
BraTS20_Training_069,WT,large,0.3922744213294531,0.2439933944783232
BraTS20_Training_023,WT,small,0.09349837245159684,0.04904185294183446
BraTS20_Training_084,WT,small,0.138774805308342,0.07456099654364085
BraTS20_Training_197,WT,large,0.5178644656364882,0.34940425732311986
BraTS20_Training_232,WT,medium,0.18175327746690487,0.09996073426916167
BraTS20_Training_108,WT,small,0.03991488876645516,0.020363854884513373
BraTS20_Training_252,WT,large,0.4970506932503049,0.33071687183198184
BraTS20_Training_202,WT,medium,0.21008428778834234,0.11737105068973207
BraTS20_Training_258,WT,medium,0.3182674527125936,0.18924974320438245
BraTS20_Training_304,WT,small,0.06589253253137708,0.03406870282012706
BraTS20_Training_327,WT,large,0.3208668847508681,0.19109079669556828
BraTS20_Training_265,WT,small,0.1590900267867453,0.08641923239139082
BraTS20_Training_195,WT,small,0.0847250635904663,0.04423650201850183
BraTS20_Training_338,WT,large,0.3656546821280598,0.22373159339678225
BraTS20_Training_102,WT,small,0.05250252695010168,0.02695897051300383
BraTS20_Training_003,WT,small,0.09271787845050863,0.048612566228631075
BraTS20_Training_298,WT,small,0.0986392059504699,0.05187821599097323
BraTS20_Training_346,WT,medium,0.13945967201537043,0.07495654349316665
BraTS20_Training_061,WT,small,0.0665265086072267,0.03440776866265929
BraTS20_Training_278,WT,medium,0.2880582756149816,0.1682640661839473
BraTS20_Training_221,WT,large,0.41314863676338853,0.260357489261447
BraTS20_Training_295,WT,small,0.07694997310381407,0.04001454565797843
BraTS20_Training_039,WT,small,0.168001365517818,0.0917038704918598
