comparison,family,region,bin,n,base_mean,other_mean,delta,ci_lo,ci_hi,effect_size,p_raw,q_pooled,q_perrq
RQ3c (6^3 window),RQ3,WT,large,20,0.2808702663321127,0.43716023483481814,0.15628996850270543,0.1316975377448713,0.1807203834798772,1.0,1.9073486328125e-06,5.177089146205357e-06,6.130763462611607e-06
RQ4 (scale-matched),RQ4,ET,small,21,0.009954052583732463,0.004869272501007127,-0.005084780082725336,-0.007393672440286297,-0.002954194608554307,-1.0,9.5367431640625e-07,3.261566162109375e-06,1.430511474609375e-06
RQ4 (scale-matched),RQ4,ET,medium,23,0.03742924981534332,0.018097861838196786,-0.019331387977146532,-0.025026887792338408,-0.01484824897995264,-1.0,2.384185791015625e-07,1.2740492820739746e-06,4.291534423828125e-07
RQ4 (scale-matched),RQ4,ET,large,23,0.14884564587032542,0.06405900464213353,-0.08478664122819189,-0.10798487627097168,-0.06269607151876222,-1.0,2.384185791015625e-07,1.2740492820739746e-06,4.291534423828125e-07
RQ4 (scale-matched),RQ4,TC,small,27,0.019182928141719627,0.012427430522750239,-0.006755497618969389,-0.008758435684273059,-0.0048223612029907525,-1.0,1.4901161193847656e-08,1.9600758185753455e-07,1.341104507446289e-07
RQ4 (scale-matched),RQ4,TC,medium,23,0.05895893056056275,0.03577259282563723,-0.023186337734925518,-0.031001505244444838,-0.016626839034933043,-1.0,2.384185791015625e-07,1.2740492820739746e-06,4.291534423828125e-07
RQ4 (scale-matched),RQ4,TC,large,23,0.1755513767356842,0.09822552585102191,-0.07732585088466228,-0.09572642313683055,-0.05945843957210477,-1.0,2.384185791015625e-07,1.2740492820739746e-06,4.291534423828125e-07
RQ4 (scale-matched),RQ4,WT,small,32,0.05682907016139984,0.04761951804438497,-0.009209552117014873,-0.013091269402242733,-0.005572155896957321,-0.7992424242424242,2.0234379917383194e-05,4.219608494966495e-05,2.2763677407056093e-05
RQ4 (scale-matched),RQ4,WT,medium,21,0.13671154759037568,0.10574411647794141,-0.030967431112434274,-0.042014141330776064,-0.02036101776459018,-0.9307359307359307,2.384185791015625e-05,4.796420826631434e-05,2.384185791015625e-05
RQ4 (scale-matched),RQ4,WT,large,20,0.2808702663321127,0.17765364215805426,-0.10321662417405844,-0.12479145836393028,-0.08003477040734405,-1.0,1.9073486328125e-06,5.177089146205357e-06,2.452305385044643e-06
RQ6 (uniformity fix),RQ6,ET,small,21,0.009954052583732463,0.0054716295483458995,-0.004482423035386564,-0.006635094514453778,-0.0025377358723768758,-1.0,9.5367431640625e-07,3.261566162109375e-06,2.86102294921875e-06
RQ6 (uniformity fix),RQ6,ET,medium,23,0.03742924981534332,0.020165438693685905,-0.017263811121657414,-0.02325522302251496,-0.012336327341706315,-1.0,2.384185791015625e-07,1.2740492820739746e-06,1.0728836059570312e-06
RQ6 (uniformity fix),RQ6,ET,large,23,0.14884564587032542,0.070451353614273,-0.07839429225605242,-0.10073636206799877,-0.05668376525846993,-1.0,2.384185791015625e-07,1.2740492820739746e-06,1.0728836059570312e-06
RQ6 (uniformity fix),RQ6,TC,small,27,0.019182928141719627,0.01631832152301536,-0.002864606618704267,-0.004792495386825279,-0.0011025455682800909,-0.5555555555555556,0.010378450155258179,0.013757480438365492,0.013343721628189089
RQ6 (uniformity fix),RQ6,TC,medium,23,0.05895893056056275,0.04617594906917126,-0.012782981491391489,-0.018755940622140567,-0.0070069519528020855,-0.7898550724637681,0.00040793418884277344,0.0006284391557848132,0.0006119012832641602
RQ6 (uniformity fix),RQ6,TC,large,23,0.1755513767356842,0.12005127864183891,-0.055500098093845276,-0.07427998761766547,-0.037166453350279786,-0.9347826086956522,7.867813110351562e-06,1.8430082765344072e-05,1.7702579498291016e-05
RQ6 (uniformity fix),RQ6,WT,small,32,0.05682907016139984,0.06054459897368193,0.0037155288122820915,0.00028455772157330085,0.007388948332444324,0.32954545454545453,0.10643770126625896,0.1213389794435352,0.11974241392454132
RQ6 (uniformity fix),RQ6,WT,medium,21,0.13671154759037568,0.13683045293637827,0.00011890534600259017,-0.010800047890401647,0.009940664238630437,0.12554112554112554,0.6332969665527344,0.6407916052101632,0.6332969665527344
